Location,Latitude,Longitude,Elevation (m),Ground Displacement (mm/month),Slope (degrees),Rainfall (mm/week),Vegetation Cover (%),Soil Moisture Levels (%),Rock & Soil Type,Water Bodies & River Proximity (km),Temperature (°C),Backscatter Data (dB),Risk Level
Location_0,18.861663446573512,88.24668970657261,1007.1513513092362,31.144907108173083,13.0852841867953,331.0075688425212,67.2702994208898,28.651954892712293,Moderate,9.186628816010856,4.298075377870884,-9.584234973133642,0
Location_1,35.57071488588757,83.5467946239795,2755.314642153955,28.750912657783857,12.348939953599992,305.81111786188706,79.66813971913723,80.26403123529296,Stable,15.042573990871425,42.54093299582157,3.8254703595155055,0
Location_2,29.227824312530743,76.97630087230351,4377.434595794401,1.5385239483861413,45.31272902605184,229.4115805822293,25.046789879249896,99.72378999036027,Stable,18.110776758578023,5.494881479311536,-1.243516249056853,0
Location_3,25.361096041714063,91.60005557150151,3687.9019434068496,20.474869657569386,12.477309992475304,382.41885744477327,62.48740996069989,3.0026005329392813,Unstable,16.707450605684922,8.045928982508403,8.129193398737062,0
Location_4,12.52454057283066,87.8572040040625,4052.149624521104,22.811737127151424,13.59748630643155,80.18980621136112,57.17459831437487,89.73658657909318,Unstable,3.9377574355136713,43.480796945216895,0.3911433573050189,0
Location_5,12.523841089749876,72.71589124100184,3328.038496882515,23.92936685381403,37.96991312089818,43.70568412384856,83.28303767882711,62.26305335986581,Stable,8.823011044612647,31.73542851325129,-2.894551047359183,0
Location_6,9.684424752877783,94.41688835032144,3492.155166137477,34.81034215363994,22.486992122527,341.58478678216886,90.60870604812604,97.33826191648213,Stable,3.9882319551707,29.97982665117641,-1.6941197304249656,0
Location_7,33.11910822747312,91.8535800447719,4261.058692670064,32.016152803612705,38.83552784775906,175.65992665349933,1.2156771477386807,46.50095175264276,Moderate,5.289436333343815,37.64631919272907,8.271143184052438,0
Location_8,25.432335340553056,95.5441974854658,1323.3732434100111,36.47430556760668,3.268307878219262,338.7875416828242,67.40199190587927,84.73879305713737,Unstable,10.070939630237724,0.7911541118397132,3.646027896001183,0
Location_9,28.53410475608532,89.04586574326244,2498.182321851388,45.8929956925277,24.378559683669216,357.236082078166,5.183579911972903,6.239406859827723,Moderate,1.3621804944704508,30.29781182900036,-19.278762879006862,0
Location_10,8.59695033457827,85.78904068213791,1183.926264916051,48.77914432296561,1.6806800091641316,24.983037447628572,54.88586650773559,33.527905007829574,Moderate,4.363486591865464,20.184430466411943,-3.975809115929082,0
Location_11,36.12738571269784,80.12904805242795,4939.57323918357,43.08738457358967,3.132660172767726,353.38590519442425,28.76327290436782,6.701653775120997,Moderate,18.707563226142344,36.457532014207,0.6501523463969434,0
Location_12,32.140836583212234,95.0491260172664,4725.890764464405,57.33142175729608,45.32187266722055,179.32762214776886,30.67765995221412,97.53431334790706,Stable,9.32232585316978,20.407085933259715,2.4609543531746496,0
Location_13,14.157834209670009,93.11585279551184,293.19137570567887,1.0939549605816978,6.962268555879758,204.1729956016929,35.29585034523566,81.69739072718367,Moderate,8.907730519557443,26.012067713445607,-13.6057364205819,0
Location_14,13.27292404900592,69.31134143307949,3557.318345326873,11.746679141012766,26.621034113760857,250.6370044372841,62.12924490496101,85.25474212459704,Moderate,0.291343095025578,18.8871063199768,6.0153206335405685,0
